"id","nazov_vstupny_bod","typ","rola_gating","vstupne_data_phi_minimalizacia","externy_proxy","pouzivatelovi_viditelne","prompt_model","prompt_verzovany","sk_korektnost","hallucination_traps","vystup_validacia","ai_moze_zapisat_priamo","audit_stopa","failure_modes","ux_loading_badge","testy_evals","hodnota_1_5","riziko_1_5","priorita_nalezu"
"A11","Agent write tools: book_appointment, record_vital_signs, record_vitals_from_speech, create_prescription (tools.ts:668/995/2594/2894)","LLM + zápis","allowWrites + assertAgentRole fail-closed","vstup modelu","áno","áno","—","n/a","čiastočne (SK reč na meranie)","Reč na čísla (UNVERIFIED U-12)","zod schémy; create_prescription bez obálky pred INSERT (F-18-1)","áno","create_prescription → žiadny AI ledger záznam (F-X6-3)","odmietnutie write toolu bez allowWrites","checkbox 'Povoliť zápisy'","lib/agent/__tests__/tools.test.ts 61","4","5","F-18-1 P0"
"A12","API /api/v1/agent (route.ts:30-155)","LLM + zápis","scope agent:run, agent:write, service_agent ak bez veterinára","rovnaké ako A10","áno","nie (programátorský vstup)","rovnaké ako A10","nie","áno","—","scopes + allow_writes default false","áno","rovnaké ako A10","401/403, rate limit","n/a","api-v1-agent*","3","4","F-18-1 P0"
"A13","imaging.analyze (imaging.ts:225-305)","LLM (vizuálny) + fallback","admin+veterinarian, requireFeature(imagingRtg)","RTG snímka (upload)","áno (vision model)","áno","imaging.ts:233 imagingRtg mapping → inak configuredModel()","nie","áno","Nesprávny opis snímky; confidence bez kalibrácie","zod; analýza uložená samostatne, nie automaticky do SOAP","nie – do SOAP až potvrdením","imaging.ts:836 appendAiAuditEvent ✅","žiadny timeout (F-07-2); surový error text (F-07-3)","panel analýzy s nálezmi","server/__tests__/imaging*","5","4","F-07-2 P1, F-07-3 P2"
"A14","imaging.injectFindingsIntoSoap (imaging.ts:574)","LLM + zápis do SOAP","admin+veterinarian","nálezy analýzy","rovnaké","áno","—","n/a","áno","—","potvrdenie lekára","áno – vloží text do SOAP po potvrdení","BEZ AI ledger záznamu (F-04-1/F-X6-2)","—","vkladanie nálezov","extensions-ai-finalization.test.ts 21","4","3","F-04-1 P0"
"A15","marketing.generateImage / generateImageForPost / submitVideo (marketing.ts:812,869)","LLM (obrázok/video)","protectedProcedure (bez requireRole, bez feature gate)","marketingový prompt (bez PHI ak klinika nedá)","áno (Alibaba proxy)","áno","model z mappingu imageGeneration|videoGeneration, inak configuredModel()","nie","čiastočne","Vizuálne nezmysly","zod; schvaľovacia fronta","áno – médium sa vytvorí a čaká na schválenie","marketing.ts:4696 appendAiAuditEvent ✅","Surová chyba providera; curated stock fallback bez zmeny kontraktu odpovede (:850-869)","AI Canvas UI","lib/ai/__tests__/marketing-audit.test.ts 12","4","3","F-X2-1 P1, F-14-1 P1"
"A16","marketing.generateReviewReply (1485), suggestWebsiteFaq (4580), suggestMediaAltText (3401), competitor (3661), autoFix (2213)","LLM","protectedProcedure","text recenzie/obsah webu (cudzí vstup)","áno","áno","configuredModel()","nie","áno","Recenzia môže obsahovať pokyn (prompt injection, F-14-3)","zod; schvaľovacia fronta pre publikované texty","nie automaticky","marketing.ts:583/1567 ✅","—","text na schválenie","marketing-audit.test.ts","4","4","F-14-3 P2"
"A17","marketing.generateIllustration (marketing.ts:3514-3545)","procedurálne SVG (žiadny model)","protectedProcedure","parametre ilustrácie","nie","áno","žiadny model","n/a","n/a","—","—","nie","—","—","ilustrácia v AI Canvas","—","3","1","F-X2-6 P2"
"A18","marketing.composer (composer.ts:106) generatePost/createContentItem","LLM","protectedProcedure","marketingový brief","áno","áno","configuredModel() – ignoruje marketingCopy mapping (F-17-3)","nie","áno","—","zod","áno – návrh článku, schvaľovacia fronta","marketing.ts:583 ✅","—","AI návrh v editore","marketing.test.ts","4","2","F-17-3 P1"
"A19","discharge.generate (discharge.ts:139) + SMS plán","LLM + deterministický fallback","admin+veterinarian+front_desk+technician (dischargeProcedure)","dáta hospitalizácie, liečba","áno","áno","configuredModel() (obchádza mapping, F-08-1)","nie","áno","—","zod; fallback bez označenia (F-08-2)","áno – po potvrdení","discharge.ts:517/869 ✅","Chýbajúci timeout","bez označenia AI/fallback","extensions-ai-finalization 21","4","3","F-08-1 P2, F-08-2 P2"
"A20","lab-import.parsePdfOrImageReport (lib/lab-import.ts)","heuristika/regex (NIE AI)","admin+veterinarian","PDF/obrázok reportu","nie","áno","žiadny model","n/a","áno (SK popisky)","Falošná confidence 0.65-0.94 a 'AI OCR' device (F-07-1)","ručné potvrdenie hodnôt","nie","nie je AI záznam (a nemalo by byť)","nečitateľný report","výrazné 'AI OCR'","lab-import tests","2","4","F-07-1 P0"
"E1","Auto-klasifikácia/AI nad starou poštou (voľný text) — NEEXISTUJE","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","0","0","F-13-1 P2 (medzera)"
"E2","AI v inbox/messaging — NEEXISTUJE (grep bez zhôd)","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","0","0","F-13-1 P2 (medzera)"
"E3","Iné AI volanie v repozitári mimo A01-A20 — nenájdené (grep pokrýva openai|gemini|alibaba|inference|generateText|prompt)","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
